"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","disciplina","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL","EVADIU"
"c34607fa820cddaed5aafda34096e636",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.3,FALSE
"c34607fa820cddaed5aafda34096e636",1109103,"Cálculo Diferencial e Integral I",2004,1,7.8,FALSE
"ffaf88010ff9363592b609aa970bbba6",1109103,"Cálculo Diferencial e Integral I",2004,1,7.1,FALSE
"ffaf88010ff9363592b609aa970bbba6",1411167,"Programação I",2004,1,8.9,FALSE
"ffaf88010ff9363592b609aa970bbba6",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,9.2,FALSE
"ffaf88010ff9363592b609aa970bbba6",1307151,"Leitura e Produção de Textos",2004,1,8.3,FALSE
"ffaf88010ff9363592b609aa970bbba6",1411174,"Introdução à Computação",2004,1,9.8,FALSE
"b1896bea568715f5e91710d48ee0c3a1",1109103,"Cálculo Diferencial e Integral I",2004,1,7.6,FALSE
"b1896bea568715f5e91710d48ee0c3a1",1411167,"Programação I",2004,1,8.6,FALSE
"b1896bea568715f5e91710d48ee0c3a1",1411180,"Laboratório de Programação I",2004,1,8,FALSE
"b1896bea568715f5e91710d48ee0c3a1",1307151,"Leitura e Produção de Textos",2004,1,7.4,FALSE
"b1896bea568715f5e91710d48ee0c3a1",1411174,"Introdução à Computação",2004,1,8.8,FALSE
"1bf2e20031a3dee1334171965990f99b",1109103,"Cálculo Diferencial e Integral I",2004,1,6.3,FALSE
"1bf2e20031a3dee1334171965990f99b",1411167,"Programação I",2004,1,7.7,FALSE
"1bf2e20031a3dee1334171965990f99b",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.9,FALSE
"1bf2e20031a3dee1334171965990f99b",1411180,"Laboratório de Programação I",2004,1,7.5,FALSE
"1bf2e20031a3dee1334171965990f99b",1307151,"Leitura e Produção de Textos",2004,1,7.3,FALSE
"1bf2e20031a3dee1334171965990f99b",1411174,"Introdução à Computação",2004,1,9,FALSE
