"MAT_NOVA_MATRICULA","ALU_ANO_INGRESSO","ALU_PERIODO_INGRESSO","Álgebra Linear I","Álgebra Vetorial e Geometria Analítica","Cálculo Diferencial e Integral I","Cálculo Diferencial e Integral II","Engenharia de Software I","Estrutura de Dados e Algoritmos","Fundamentos de Física Clássica","Fundamentos de Física Moderna","Gerência da Informação","Introdução à Computação","Lab. de Estrutura de Dados e Algoritmos","Lab. de Org. e Arquitetura de Computadores","Laboratório de Programação I","Laboratório de Programação II","Leitura e Produção de Textos","Lógica Matemática","Matemática Discreta","Métodos Estatisticos","Org. e Arquitetura de Computadores I","Paradigmas de Ling. de Programação","Probabilidade e Estatistica","Programação I","Programação II","Sistemas de Informação I","Teoria da Computação","Teoria dos Grafos"
"0044fe18610b0e666a8630b6b7f98386",2012,1,7.3,9.4,8.5,7.3,9.3,8.8,8.9,8,8.1,8.8,9.2,8.4,8.4,8,9.3,8.4,9.2,9,9.4,8,7.3,8.3,8.1,9.7,8.3,9.5
"0046df6db1258d1dd1874b0ae5d6dd0d",2009,2,5.9,5.6,7,5,NA,7.3,5.8,9,NA,5.2,7,NA,5,5,7,NA,NA,NA,NA,NA,NA,5,5,NA,NA,6.2
"0049c0b6a2e2db661f8e15e7bc2b7581",2011,1,5,6.2,8,5,7.5,7,NA,5.3,7,8.6,7.5,7.7,8.8,5.8,8,6.3,5.2,7,7.4,9.3,5.6,8.6,7.7,7.9,7,8.9
"00903758dacc5b467d4e332061619549",2010,2,NA,6.8,5.3,7,NA,5.7,5.1,9.3,8.3,8.7,5.2,NA,7.1,8.4,9,7.9,7.3,NA,NA,7,NA,7.2,8.5,7,7.2,8.8
"00e2a1c1485b8396c82098af0d252161",2007,1,7.3,7.9,6.8,NA,8,8.3,5.5,7.2,8,8.1,8.8,7.5,8.8,8.8,8.8,8.2,6.9,7.5,9.1,7.4,7.4,8.7,9.5,9.5,6.4,7.4
"0134dc0b387e4dff42a0d2b45423564b",2011,1,6.5,7.8,6.3,6.5,8,7,7.9,5.8,8,8,7.3,5.2,8.4,8,7.7,7.9,5,7,7.6,7,7,8.3,9,7.8,6.2,8.7
"016429d13a72a99fb3bfb1425c984f2e",2008,1,8,8.8,7.3,5.7,8.8,7.1,7,9.2,7.9,9,5.5,8.3,7,9.2,9.6,8.2,5.4,8.1,8,5,6.3,7.7,7.4,8.1,7.2,7
"017e19614867406badd6e59a0d89e1b4",2010,1,6.6,6.2,6.2,8,7.7,5,7,7.6,8.1,7.8,7,7,5.8,5.8,10,5,6,7.3,6,5.5,5,5,5.5,5,5.1,5.1
"0189d03cbf10376083a4a70ec39dab90",2014,2,NA,5,7.4,6.2,NA,5.9,7.8,NA,8.1,5.3,7.3,NA,5.1,6.8,7.4,NA,7,NA,NA,NA,NA,5.1,5,NA,7.3,8.1
"01b97ddef63b36e8bdbe805325d0c9a3",2000,1,NA,9.8,9.2,NA,7.7,9.6,8.7,9.2,8.3,6.9,9.6,10,9,8.3,7.3,8.9,9.3,8,8.2,8.7,9,9.2,7,9.5,9.6,9.4
"02188304b2556b3bd0a6a4f4bc2f1f4d",2014,1,NA,7.8,6.1,NA,NA,5.3,NA,NA,7.5,7.2,6.1,NA,7.4,7,7.8,NA,6,NA,NA,NA,NA,7.4,6.4,NA,5.5,6.9
"0260d5a4250749925ae991ed198189a3",2010,2,6.4,6.4,5,5.7,8.1,5,5.9,5,7.1,6.1,6.1,9.3,8.4,8,8.4,5.6,5.6,6.5,8.3,7,5.8,8.1,7.6,7,5.2,7.8
"027ca3992817ad444244b38644ea3e0f",2007,2,5.5,8.3,6.6,5,NA,3.6,5.2,8.4,7.3,8.1,3.1,NA,7.6,7.1,8.2,NA,5.7,NA,NA,NA,0.5,5,7.2,7,NA,6.1
"0374fdf2af8d67dd2e70f705831ee43b",2013,2,5.5,5.9,5.5,5.1,5.2,6.6,8.2,7.1,5.7,6.2,7,5.5,9.2,6.4,7.8,7,5.8,5.4,7,5.2,6,9.2,7.1,8,5.4,6.6
"03a540da507a3e47a4040088383a7564",2008,1,5,8,7.1,5.4,0,5.9,7,2.7,0,7,6.4,NA,7.3,9.2,0,0,6.1,0.8,NA,0,5.7,8.8,8.4,NA,5,6
"03eb1356c70676875bed4c509c3ec0ff",2004,1,6.8,8.5,6.3,NA,6.5,5.8,5,5,8,7.6,7.5,8.6,7,9.2,6.2,7.1,5.6,5,7.2,6.2,5,7,5.7,7.5,5.2,5.4
"044fa7f8a104466f2e7e7c42ddb92b8f",2014,2,NA,NA,1.8,NA,NA,NA,NA,NA,NA,5,NA,NA,7.3,5.9,7,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA
"047909ac811038a531916088c0da3a51",2001,1,NA,9.2,7.6,NA,9,7.2,9.6,8.5,8.8,8.4,7.9,9.6,7,9.1,8.8,9.8,7.7,8.6,7.2,8.5,7.8,5,8.6,8.5,8.3,7.7
"0488727128beb0a6053f9bfc8c98bc3f",2012,2,NA,3.7,7,NA,NA,NA,NA,NA,5.6,5.1,NA,NA,8,NA,8.3,NA,5,NA,NA,NA,NA,8,5.3,NA,NA,7.2
"04b25a8d5e520f22eab79911df550f81",2014,2,7,7,5.2,5.9,7.1,5.7,7.6,5,5.2,7,5.3,7,7.2,5.7,7,7,5.8,5.9,7.5,5.9,5.5,7,7,8,5.2,7.8
"04e1dc24d68013a68b1e1f8e693d7352",2012,2,5,7.5,6.6,7.1,7,7,8.3,6.9,8.8,7.1,7,7.4,6.5,7.5,7.3,7,7.5,NA,6.8,7.4,5.9,6.5,7.9,6.3,8.1,7.3
"04e8ac9d61fec4cd032462936b9e38c2",2004,2,0.7,5.1,5.1,0.8,NA,3.4,5,NA,7.5,6,5,NA,5,9,8,NA,5,NA,NA,NA,NA,5.3,6.4,NA,0.5,5.2
"04eafead13c0e81d5b03b15aed754f58",2011,1,NA,5.2,7,NA,NA,NA,NA,NA,NA,7.1,NA,NA,6.5,5,7.5,NA,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,5.3
"058039468e4ee193d4ffd22ab909a74a",2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5.7,7.5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"05a1c3f478ec39e336160a742eb8c40f",2001,1,NA,7,7.1,NA,NA,NA,NA,NA,NA,7.1,NA,NA,2.4,NA,8.5,NA,2.9,NA,NA,NA,6.2,3.6,NA,NA,NA,NA
"05cf41c86cb857ea70d46b65f564178e",2011,2,6.1,7.3,7.7,5.2,7,6.3,8.6,7.6,5.5,8,8.4,7.4,7.2,7.4,8,7,7.1,7.1,6.4,9.6,6.4,7.1,7.6,7.3,5.5,8.3
"061f8f84511378faa08a78c60ba963bb",2014,1,7,9.5,6.4,9.2,7.9,9,7.2,9.4,8,9.5,8.7,9.6,8.9,8.9,8.3,9.7,7.8,7,10,10,9.4,8.9,8.8,9,9.8,10
"0630ea58b19ca44c1f5600cd4da2282d",2013,1,NA,2.2,6.9,NA,NA,NA,NA,NA,NA,5,NA,NA,7.3,NA,7.5,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,5
"0638283347ffe583393c4627487255f9",2008,2,7,7,7,5,NA,6.6,7,8.5,8.1,8.5,8.3,NA,6.6,8.5,7.6,7,7,NA,NA,NA,6,8.4,8.3,9,5.2,6.2
"066569f1efb4f5258902f462498de98e",2005,2,NA,6.2,5.9,5.1,7,6.6,7.8,5.2,7.4,7.8,6.1,8.6,5.6,8.7,7,6.2,5.1,6.5,5.2,5.6,7,6.1,6.3,5.7,7.1,5
"0694cfb1863bcea6084f0ae295671c70",2010,1,6.1,5.9,7.3,7.3,7.7,9.7,5,9.2,7.4,8.8,9.1,7.7,10,7,6.5,7.8,8,5,7.6,7.5,7,10,8.7,10,9.6,9.5
"0698e89a9f580e43adc2fa6f4b0fdc31",2010,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5.6,NA,NA,7,NA,8,NA,NA,NA,NA,NA,NA,7.1,7.2,NA,NA,5
"06f025a1fdb2b35cfbffda88ee071878",2004,2,NA,5,5,NA,8.3,7.6,5,5.8,8.1,7.4,8.1,9.3,8.5,8.2,7.3,5.8,5.6,5,7,7.6,6.7,7.2,6.8,8.5,5,5.1
"07637b738060b26ad5fba0ef577e3e0a",2006,2,7,7,9.5,NA,7,5.1,8.6,7.2,8.5,8.2,7,7.8,7.6,9.2,8.6,5.6,5.5,5.1,7.4,5.5,5,7.2,7.5,7.6,7.5,6.4
"07788d3c57a530ad6471b6f5a22a4d60",2013,2,NA,NA,NA,NA,NA,NA,NA,NA,6.1,7.6,NA,NA,5.6,NA,8.3,NA,5,NA,NA,NA,NA,5.6,NA,NA,2.8,7.6
"0779a91913b774e95ab80b2df688a0f4",2013,2,5.3,8.6,7.7,5.2,6.4,7.2,7.6,NA,5.4,9,8.5,NA,9.1,8.6,8.5,8.4,6,NA,NA,8.3,6.2,9.1,8.7,8.6,7.3,5
"07a173d9b6b2a47ca50afe3b25fd159d",2010,1,7,8,9.1,9.8,9.3,8.7,9.1,10,8,9.7,9.2,9.9,8.8,8.7,8.9,9.2,9,8.4,8.4,9.5,8.2,6.3,9.4,8.6,9.3,10
"07aa51cca5faa939f09db0cff2031c98",2001,2,NA,5,5,NA,7.7,5,6,6.1,5.3,7,7.1,7.9,8.6,8.3,5,6.2,7,6.6,8.3,6.2,5.8,6,7.2,5.3,8.5,5.9
