"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"00b6f55e3639c9d3b835751a39ca6309",2002,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,7.3
"00b6f55e3639c9d3b835751a39ca6309",2002,1,1109053,"Cálculo Diferencial e Integral II",4,7.2
"00b6f55e3639c9d3b835751a39ca6309",2002,1,1109049,"Álgebra Linear I",4,8.8
"51a0c689765218e52f0ad96f906049fb",2010,2,1411167,"Programação I",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1411180,"Laboratório de Programação I",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1114107,"Probabilidade e Estatistica",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1109113,"Matemática Discreta",4,1.2
"51a0c689765218e52f0ad96f906049fb",2010,2,1305218,"Métodologia Científica",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1109103,"Cálculo Diferencial e Integral I",4,7.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,7.8
"51a0c689765218e52f0ad96f906049fb",2010,2,1411180,"Laboratório de Programação I",4,4.9
"51a0c689765218e52f0ad96f906049fb",2010,2,1411167,"Programação I",4,4.5
"51a0c689765218e52f0ad96f906049fb",2010,2,1411174,"Introdução à Computação",4,7.8
"51a0c689765218e52f0ad96f906049fb",2010,2,1307151,"Leitura e Produção de Textos",4,7.1
"51a0c689765218e52f0ad96f906049fb",2010,2,1411167,"Programação I",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1411180,"Laboratório de Programação I",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1305218,"Métodologia Científica",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1305220,"Informática e Sociedade",2,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1411167,"Programação I",4,7.1
"51a0c689765218e52f0ad96f906049fb",2010,2,1305220,"Informática e Sociedade",2,9.5
"51a0c689765218e52f0ad96f906049fb",2010,2,1411180,"Laboratório de Programação I",4,7
"51a0c689765218e52f0ad96f906049fb",2010,2,1114107,"Probabilidade e Estatistica",4,1.8
"51a0c689765218e52f0ad96f906049fb",2010,2,1109113,"Matemática Discreta",4,6.2
"51a0c689765218e52f0ad96f906049fb",2010,2,1411172,"Estrutura de Dados e Algoritmos",4,5.1
"51a0c689765218e52f0ad96f906049fb",2010,2,1411176,"Gerência da Informação",4,9.4
"51a0c689765218e52f0ad96f906049fb",2010,2,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,5
"51a0c689765218e52f0ad96f906049fb",2010,2,1109113,"Matemática Discreta",4,3
"51a0c689765218e52f0ad96f906049fb",2010,2,1411168,"Programação II",4,7
"51a0c689765218e52f0ad96f906049fb",2010,2,1411170,"Teoria dos Grafos",2,5.8
"51a0c689765218e52f0ad96f906049fb",2010,2,1411181,"Laboratório de Programação II",4,8.4
"51a0c689765218e52f0ad96f906049fb",2010,2,1305218,"Métodologia Científica",4,9.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1411171,"Teoria da Computação",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1411178,"Sistemas de Informação I",4,1.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1114107,"Probabilidade e Estatistica",4,5.7
"51a0c689765218e52f0ad96f906049fb",2010,2,1114114,"Métodos Estatisticos",4,5
"51a0c689765218e52f0ad96f906049fb",2010,2,1411171,"Teoria da Computação",4,0.1
"51a0c689765218e52f0ad96f906049fb",2010,2,1411178,"Sistemas de Informação I",4,NA
"51a0c689765218e52f0ad96f906049fb",2010,2,1108089,"Fundamentos de Física Clássica",4,5
"51a0c689765218e52f0ad96f906049fb",2010,2,1108090,"Fundamentos de Física Moderna",4,6.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1411175,"Org. e Arquitetura de Computadores I",4,9.2
"51a0c689765218e52f0ad96f906049fb",2010,2,1411182,"Lab. de Org. e Arquitetura de Computadores",4,9.2
"51a0c689765218e52f0ad96f906049fb",2010,2,1411178,"Sistemas de Informação I",4,8
"51a0c689765218e52f0ad96f906049fb",2010,2,1411171,"Teoria da Computação",4,0.8
"51a0c689765218e52f0ad96f906049fb",2010,2,1411177,"Engenharia de Software I",4,7.5
"51a0c689765218e52f0ad96f906049fb",2010,2,1411171,"Teoria da Computação",4,3.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1411183,"Laboratório de Engenharia de Software",2,7.5
"51a0c689765218e52f0ad96f906049fb",2010,2,1411190,"Redes de Computadores",4,7
"51a0c689765218e52f0ad96f906049fb",2010,2,1411193,"Banco de Dados I",4,4.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1411190,"Redes de Computadores",4,2.9
"51a0c689765218e52f0ad96f906049fb",2010,2,1411171,"Teoria da Computação",4,6
"51a0c689765218e52f0ad96f906049fb",2010,2,1411184,"Lab. de Intercon. de Redes de Computadores",2,7
"51a0c689765218e52f0ad96f906049fb",2010,2,1411191,"Interconexão de Redes de Computadores",4,7
"51a0c689765218e52f0ad96f906049fb",2010,2,1411193,"Banco de Dados I",4,3.3
"51a0c689765218e52f0ad96f906049fb",2010,2,1411169,"Paradigmas de Ling. de Programação",4,0
"51a0c689765218e52f0ad96f906049fb",2010,2,1411173,"Lógica Matemática",4,5
